"Date","Price","Open","High","Low","Change %"
"Dec 15, 2019","1,505.180","1,504.991","1,505.180","1,504.991","0.07%"
"Dec 08, 2019","1,504.171","1,502.978","1,504.171","1,502.978","0.11%"
"Dec 01, 2019","1,502.571","1,501.542","1,502.571","1,501.542","0.08%"
"Nov 24, 2019","1,501.339","1,500.233","1,501.339","1,500.233","0.09%"
"Nov 17, 2019","1,500.032","1,499.006","1,500.032","1,499.006","0.08%"
"Nov 10, 2019","1,498.801","1,497.599","1,498.801","1,497.599","0.09%"
"Nov 03, 2019","1,497.391","1,496.172","1,497.391","1,496.172","0.10%"
"Oct 27, 2019","1,495.969","1,493.243","1,495.969","1,493.243","0.09%"
"Oct 20, 2019","1,494.689","1,493.444","1,494.689","1,493.444","0.11%"
"Oct 13, 2019","1,493.051","1,492.025","1,493.051","1,492.025","0.08%"
"Oct 06, 2019","1,491.820","1,490.613","1,491.820","1,490.613","0.09%"
"Sep 29, 2019","1,490.422","1,489.212","1,490.422","1,489.212","0.09%"
"Sep 22, 2019","1,489.010","1,487.808","1,489.010","1,487.808","0.09%"
"Sep 15, 2019","1,487.606","1,486.417","1,487.606","1,486.417","0.09%"
"Sep 08, 2019","1,486.217","1,485.015","1,486.217","1,485.015","0.09%"
"Sep 01, 2019","1,484.813","1,483.808","1,484.813","1,483.808","0.08%"
"Aug 25, 2019","1,483.605","1,482.393","1,483.605","1,482.393","0.10%"
"Aug 18, 2019","1,482.192","1,480.980","1,482.192","1,480.980","0.09%"
"Aug 11, 2019","1,480.787","1,479.598","1,480.787","1,479.598","0.09%"
"Aug 04, 2019","1,479.402","1,478.203","1,479.402","1,478.203","0.10%"
"Jul 28, 2019","1,477.997","1,476.913","1,477.997","1,476.913","0.09%"
"Jul 21, 2019","1,476.718","1,475.577","1,476.718","1,475.577","0.09%"
"Jul 14, 2019","1,475.396","1,474.290","1,475.396","1,474.290","0.09%"
"Jul 07, 2019","1,474.101","1,472.998","1,474.101","1,472.998","0.09%"
