"Date","Price","Open","High","Low","Change %"
"Apr 28, 2019","1,332.730","1,332.730","1,332.730","1,332.730","-0.91%"
"Apr 21, 2019","1,344.930","1,344.930","1,344.930","1,344.930","-1.19%"
"Apr 14, 2019","1,361.090","1,361.090","1,361.090","1,361.090","0.95%"
"Apr 07, 2019","1,348.340","1,348.340","1,348.340","1,348.340","-0.70%"
"Mar 31, 2019","1,357.870","1,357.870","1,357.870","1,357.870","0.36%"
"Mar 24, 2019","1,353.044","1,353.044","1,353.044","1,353.044","-0.35%"
"Mar 17, 2019","1,357.760","1,357.760","1,357.760","1,357.760","1.40%"
"Mar 10, 2019","1,339.000","1,339.000","1,339.000","1,339.000","1.50%"
"Mar 03, 2019","1,319.230","1,319.230","1,319.230","1,319.230","-0.83%"
"Feb 24, 2019","1,330.270","1,330.270","1,330.270","1,330.270","0.53%"
"Feb 17, 2019","1,323.240","1,323.240","1,323.240","1,323.240","0.59%"
"Feb 10, 2019","1,315.500","1,315.500","1,315.500","1,315.500","-1.35%"
"Feb 03, 2019","1,333.560","1,333.560","1,333.560","1,333.560","0.85%"
"Jan 27, 2019","1,322.370","1,322.370","1,322.370","1,322.370","1.75%"
"Jan 20, 2019","1,299.690","1,299.690","1,299.690","1,299.690","0.30%"
"Jan 13, 2019","1,295.800","1,295.800","1,295.800","1,295.800","-0.69%"
"Jan 06, 2019","1,304.790","1,304.790","1,304.790","1,304.790","0.18%"
"Dec 30, 2018","1,302.390","1,302.390","1,302.390","1,302.390","-0.20%"
"Dec 23, 2018","1,305.010","1,305.010","1,305.010","1,305.010","0.19%"
"Dec 16, 2018","1,302.600","1,302.600","1,302.600","1,302.600","0.85%"
"Dec 09, 2018","1,291.580","1,291.580","1,291.580","1,291.580","-0.49%"
"Dec 02, 2018","1,297.930","1,297.930","1,297.930","1,297.930","-0.87%"
"Nov 25, 2018","1,309.370","1,309.370","1,309.370","1,309.370","1.06%"
"Nov 18, 2018","1,295.650","1,295.650","1,295.650","1,295.650","0.72%"
"Nov 11, 2018","1,286.420","1,286.420","1,286.420","1,286.420","0.27%"
"Nov 04, 2018","1,282.990","1,282.990","1,282.990","1,282.990","0.99%"
"Oct 28, 2018","1,270.380","1,270.380","1,270.380","1,270.380","1.00%"
"Oct 21, 2018","1,257.820","1,257.820","1,257.820","1,257.820","0.34%"
"Oct 14, 2018","1,253.620","1,253.620","1,253.620","1,253.620","0.31%"
"Oct 07, 2018","1,249.720","1,249.720","1,249.720","1,249.720","-1.32%"
"Sep 30, 2018","1,266.390","1,266.390","1,266.390","1,266.390","-0.42%"
"Sep 23, 2018","1,271.730","1,271.730","1,271.730","1,271.730","0.29%"
"Sep 16, 2018","1,268.030","1,268.030","1,268.030","1,268.030","0.97%"
"Sep 09, 2018","1,255.860","1,255.860","1,255.860","1,255.860","0.40%"
"Sep 02, 2018","1,250.800","1,250.800","1,250.800","1,250.800","-1.60%"
"Aug 26, 2018","1,271.180","1,271.180","1,271.180","1,271.180","-0.58%"
"Aug 19, 2018","1,278.600","1,278.600","1,278.600","1,278.600","0.28%"
"Aug 12, 2018","1,275.030","1,275.030","1,275.030","1,275.030","-0.94%"
"Aug 05, 2018","1,287.190","1,287.190","1,287.190","1,287.190","0.74%"
"Jul 29, 2018","1,277.750","1,277.750","1,277.750","1,277.750","-0.07%"
"Jul 22, 2018","1,278.590","1,278.590","1,278.590","1,278.590","0.65%"
"Jul 15, 2018","1,270.330","1,270.330","1,270.330","1,270.330","-1.17%"
"Jul 08, 2018","1,285.430","1,285.430","1,285.430","1,285.430","0.85%"
"Jul 01, 2018","1,274.620","1,274.620","1,274.620","1,274.620","0.38%"
"Jun 24, 2018","1,269.770","1,269.770","1,269.770","1,269.770","-1.26%"
"Jun 17, 2018","1,285.990","1,285.990","1,285.990","1,285.990","-1.40%"
"Jun 03, 2018","1,304.250","1,304.250","1,304.250","1,304.250","-1.09%"
"May 27, 2018","1,318.630","1,318.630","1,318.630","1,318.630","2.47%"
"May 20, 2018","1,286.890","1,286.890","1,286.890","1,286.890","-0.39%"
"May 13, 2018","1,291.950","1,291.950","1,291.950","1,291.950","-0.69%"
"May 06, 2018","1,300.880","1,300.880","1,300.880","1,300.880","-1.47%"
"Apr 29, 2018","1,320.250","1,320.250","1,320.250","1,320.250","0.17%"
"Apr 22, 2018","1,317.960","1,317.960","1,317.960","1,317.960","-0.92%"
"Apr 15, 2018","1,330.150","1,330.150","1,330.150","1,330.150","-0.99%"
"Apr 08, 2018","1,343.470","1,343.470","1,343.470","1,343.470","0.25%"
"Apr 01, 2018","1,340.180","1,340.180","1,340.180","1,340.180","0.60%"
"Mar 25, 2018","1,332.160","1,332.160","1,332.160","1,332.160","1.05%"
"Mar 18, 2018","1,318.280","1,318.280","1,318.280","1,318.280","-0.40%"
"Mar 11, 2018","1,323.560","1,323.560","1,323.560","1,323.560","0.80%"
"Mar 04, 2018","1,313.020","1,313.020","1,313.020","1,313.020","-0.81%"
"Feb 25, 2018","1,323.720","1,323.720","1,323.720","1,323.720","-0.27%"
"Feb 18, 2018","1,327.330","1,327.330","1,327.330","1,327.330","-0.47%"
"Feb 11, 2018","1,333.640","1,333.640","1,333.640","1,333.640","-0.58%"
"Feb 04, 2018","1,341.400","1,341.400","1,341.400","1,341.400","-0.91%"
"Jan 28, 2018","1,353.690","1,353.690","1,353.690","1,353.690","-0.07%"
"Jan 21, 2018","1,354.580","1,354.580","1,354.580","1,354.580","-0.80%"
"Jan 14, 2018","1,365.540","1,365.540","1,365.540","1,365.540","0.11%"
"Jan 07, 2018","1,363.980","1,363.980","1,363.980","1,363.980","0.16%"
"Dec 31, 2017","1,361.740","1,361.740","1,361.740","1,361.740","1.34%"
"Dec 24, 2017","1,343.790","1,343.790","1,343.790","1,343.790","0.54%"
"Dec 17, 2017","1,336.580","1,336.580","1,336.580","1,336.580","0.71%"
"Dec 10, 2017","1,327.200","1,327.200","1,327.200","1,327.200","0.29%"
"Dec 03, 2017","1,323.380","1,323.380","1,323.380","1,323.380","-0.10%"
"Nov 26, 2017","1,324.750","1,324.750","1,324.750","1,324.750","0.37%"
"Nov 19, 2017","1,319.850","1,319.850","1,319.850","1,319.850","0.37%"
"Nov 12, 2017","1,314.940","1,314.940","1,314.940","1,314.940","0.10%"
"Nov 05, 2017","1,313.670","1,313.670","1,313.670","1,313.670","0.10%"
"Oct 29, 2017","1,312.380","1,312.380","1,312.380","1,312.380","1.65%"
"Oct 22, 2017","1,291.090","1,291.090","1,291.090","1,291.090","-0.98%"
"Oct 15, 2017","1,303.910","1,303.910","1,303.910","1,303.910","-0.25%"
"Oct 08, 2017","1,307.150","1,307.150","1,307.150","1,307.150","0.06%"
"Oct 01, 2017","1,306.370","1,306.370","1,306.370","1,306.370","-0.90%"
"Sep 24, 2017","1,318.190","1,318.190","1,318.190","1,318.190","0.04%"
"Sep 17, 2017","1,317.650","1,317.650","1,317.650","1,317.650","0.78%"
"Sep 10, 2017","1,307.390","1,307.390","1,307.390","1,307.390","-0.82%"
"Sep 03, 2017","1,318.230","1,318.230","1,318.230","1,318.230","1.39%"
"Aug 27, 2017","1,300.220","1,300.220","1,300.220","1,300.220","1.45%"
"Aug 20, 2017","1,281.590","1,281.590","1,281.590","1,281.590","0.71%"
"Aug 13, 2017","1,272.530","1,272.530","1,272.530","1,272.530","0.60%"
"Aug 06, 2017","1,264.910","1,264.910","1,264.910","1,264.910","0.36%"
"Jul 30, 2017","1,260.380","1,260.380","1,260.380","1,260.380","0.37%"
"Jul 23, 2017","1,255.700","1,255.700","1,255.700","1,255.700","-0.51%"
"Jul 16, 2017","1,262.130","1,262.130","1,262.130","1,262.130","1.19%"
"Jul 09, 2017","1,247.330","1,247.330","1,247.330","1,247.330","2.27%"
"Jul 02, 2017","1,219.670","1,219.670","1,219.670","1,219.670","-2.93%"
"Jun 25, 2017","1,256.530","1,256.530","1,256.530","1,256.530","0.00%"
"Jun 18, 2017","1,256.530","1,256.530","1,256.530","1,256.530","0.04%"
"Jun 11, 2017","1,256.020","1,256.020","1,256.020","1,256.020","0.34%"
"Jun 04, 2017","1,251.730","1,251.730","1,251.730","1,251.730","0.32%"
"May 28, 2017","1,247.770","1,247.770","1,247.770","1,247.770","0.12%"
"May 21, 2017","1,246.290","1,246.290","1,246.290","1,246.290","0.35%"
